time,state,uptimeSec,freeHeap,minFreeHeap,largestBlock,freeDma,minFreeDma,rssi,wifiMode,espnowBound,runActive,pingOk,wsFrames
2026-07-08T19:26:53,ok,3884,173604,114452,124916,165844,106692,-69,sta,True,True,1,1
2026-07-08T19:27:23,ok,3914,171644,114452,124916,163884,106692,-68,sta,True,True,1,120
2026-07-08T19:27:53,ok,3944,167040,114452,120820,159280,106692,-68,sta,True,True,1,238
2026-07-08T19:28:23,ok,3974,171644,114452,124916,163884,106692,-69,sta,True,True,1,355
2026-07-08T19:28:53,ok,4004,171436,114452,124916,163676,106692,-69,sta,True,True,1,473
2026-07-08T19:29:23,ok,4034,171644,114452,124916,163884,106692,-69,sta,True,True,1,591
2026-07-08T19:29:53,ok,4064,171644,114452,124916,163884,106692,-69,sta,True,True,1,709
2026-07-08T19:30:23,ok,4094,171644,114452,124916,163884,106692,-69,sta,True,True,1,827
2026-07-08T19:30:53,ok,4124,168644,114452,120820,160884,106692,-69,sta,True,True,1,945
2026-07-08T19:31:23,ok,4154,171644,114452,124916,163884,106692,-69,sta,True,True,1,1063
2026-07-08T19:31:53,ok,4184,165500,114452,118772,157740,106692,-67,sta,True,True,1,1181
2026-07-08T19:32:23,ok,4214,167040,114452,120820,159280,106692,-69,sta,True,True,1,1299
2026-07-08T19:32:53,ok,4244,171644,114452,124916,163884,106692,-68,sta,True,True,1,1417
2026-07-08T19:33:24,ok,4274,171644,114452,124916,163884,106692,-68,sta,True,True,1,1535
2026-07-08T19:33:54,ok,4304,167040,114452,120820,159280,106692,-69,sta,True,True,1,1652
2026-07-08T19:34:24,ok,4334,171644,114452,124916,163884,106692,-68,sta,True,True,1,1770
2026-07-08T19:34:54,ok,4364,171644,114452,124916,163884,106692,-68,sta,True,True,1,1887
2026-07-08T19:35:24,ok,4394,171644,114452,124916,163884,106692,-68,sta,True,True,1,2004
2026-07-08T19:35:54,ok,4424,171644,114452,124916,163884,106692,-69,sta,True,True,1,2123
2026-07-08T19:36:24,ok,4454,160832,114452,114676,153072,106692,-77,sta,True,True,1,2175
2026-07-08T19:36:54,ok,4485,157136,95128,55284,149376,87368,-77,sta,True,True,1,2184
2026-07-08T19:37:24,ok,4515,148712,95128,102388,140952,87368,-76,sta,True,True,1,2236
2026-07-08T19:37:54,ip_dead,,,,,,,,,,,0,
2026-07-08T19:38:31,ok,4582,165584,62352,48116,157824,54592,-79,sta,True,True,1,2292
2026-07-08T19:39:02,ip_dead,,,,,,,,,,,0,
2026-07-08T19:39:39,ip_dead,,,,,,,,,,,0,
2026-07-08T19:40:16,ok,4692,168624,62352,67572,160864,54592,-80,sta,True,True,1,2425
2026-07-08T19:40:51,ok,4723,136556,62352,67572,128796,54592,-81,sta,True,True,1,2444
2026-07-08T19:41:22,http_dead,,,,,,,,,,,1,
2026-07-08T19:41:59,ok,4791,165324,62352,67572,157564,54592,-79,sta,True,True,1,2466
2026-07-08T19:42:31,ok,4827,170116,62352,67572,162356,54592,-80,sta,True,True,1,2479
2026-07-08T19:43:06,ok,4861,127368,62352,67572,119608,54592,-80,sta,True,True,1,2501
2026-07-08T19:43:40,ok,4891,155296,62352,67572,147536,54592,-79,sta,True,True,1,2513
2026-07-08T19:44:10,ip_dead,,,,,,,,,,,0,
2026-07-08T19:44:49,ok,4960,168528,62352,67572,160768,54592,-79,sta,True,True,1,2568
2026-07-08T19:45:20,ok,4991,169212,62352,67572,161452,54592,-79,sta,True,True,1,2575
2026-07-08T19:45:51,ok,5023,156168,62352,67572,148408,54592,-80,sta,True,True,1,2576
2026-07-08T19:46:23,ip_dead,,,,,,,,,,,0,
2026-07-08T19:47:00,ok,5092,170844,62352,67572,163084,54592,-80,sta,True,True,1,2584
2026-07-08T19:47:31,ip_dead,,,,,,,,,,,0,
2026-07-08T19:48:09,ok,5163,122720,62352,67572,114960,54592,-80,sta,True,True,1,2637
2026-07-08T19:48:42,ok,5193,143576,62352,67572,135816,54592,-79,sta,True,True,1,2702
2026-07-08T19:49:12,ok,5225,148940,62352,67572,141180,54592,-79,sta,True,True,1,2797
2026-07-08T19:49:44,ok,5258,154976,62352,67572,147216,54592,-79,sta,True,True,1,2824
2026-07-08T19:50:18,ok,5290,169060,62352,67572,161300,54592,-78,sta,True,True,1,2840
2026-07-08T19:50:49,ip_dead,,,,,,,,,,,0,
2026-07-08T19:51:26,ok,5360,142288,62352,67572,134528,54592,-77,sta,True,True,1,2906
2026-07-08T19:51:59,ok,5392,120632,62352,53236,112872,54592,-77,sta,True,True,1,2924
2026-07-08T19:52:31,ok,5422,92612,62352,40948,84852,54592,-80,sta,True,True,1,2949
2026-07-08T19:53:01,ok,5452,155412,62352,41972,147652,54592,-69,sta,True,True,1,3082
