time,state,uptimeSec,freeHeap,minFreeHeap,largestBlock,freeDma,minFreeDma,rssi,wifiMode,espnowBound,runActive,pingOk,wsFrames
2026-07-09T10:14:48,ok,227,178104,144388,124916,170344,136628,-67,sta,True,False,1,1
2026-07-09T10:15:08,ok,247,172216,139956,110580,164456,132196,-68,sta,True,False,1,240
2026-07-09T10:15:28,ok,267,172216,139612,122868,164456,131852,-72,sta,True,False,1,474
2026-07-09T10:15:49,ok,287,161072,139612,110580,153312,131852,-68,sta,True,False,1,711
2026-07-09T10:16:09,ok,305,146844,139612,104436,139084,131852,-69,sta,True,False,1,918
2026-07-09T10:16:30,ok,328,170252,130528,108532,162492,122768,-72,sta,True,False,1,1137
2026-07-09T10:16:50,ok,348,165392,130528,112628,157632,122768,-68,sta,True,True,1,1371
2026-07-09T10:17:10,ok,368,165392,130528,112628,157632,122768,-69,sta,True,True,1,1608
2026-07-09T10:17:30,ok,388,154012,130528,102388,146252,122768,-69,sta,True,True,1,1842
2026-07-09T10:17:50,ok,408,165396,128200,112628,157636,120440,-68,sta,True,True,1,2019
2026-07-09T10:18:10,ok,428,151048,128200,96244,143288,120440,-74,sta,True,True,1,2253
2026-07-09T10:18:30,ok,448,165396,113776,112628,157636,106016,-72,sta,True,True,1,2490
2026-07-09T10:18:50,ok,468,137516,113776,92148,129756,106016,-70,sta,True,True,1,2724
2026-07-09T10:19:10,ok,488,160136,113776,98292,152376,106016,-69,sta,True,True,1,2958
2026-07-09T10:19:30,ok,508,137516,113776,92148,129756,106016,-67,sta,True,True,1,3192
2026-07-09T10:19:50,ok,528,151028,113776,96244,143268,106016,-70,sta,True,True,1,3426
2026-07-09T10:20:10,ok,548,148360,113776,96244,140600,106016,-69,sta,True,True,1,3660
2026-07-09T10:20:30,ok,568,147560,113776,92148,139800,106016,-69,sta,True,True,1,3894
2026-07-09T10:20:50,ok,588,150496,113776,98292,142736,106016,-68,sta,True,True,1,4128
2026-07-09T10:21:10,ok,608,150488,113776,96244,142728,106016,-69,sta,True,True,1,4362
2026-07-09T10:21:30,ok,629,165396,113776,112628,157636,106016,-68,sta,True,True,1,4596
2026-07-09T10:21:50,ok,649,165396,113776,112628,157636,106016,-69,sta,True,True,1,4830
2026-07-09T10:22:10,ok,669,165396,113776,112628,157636,106016,-69,sta,True,True,1,5064
2026-07-09T10:22:30,ok,689,165396,113776,112628,157636,106016,-70,sta,True,True,1,5298
2026-07-09T10:22:50,ok,709,151040,108268,98292,143280,100508,-70,sta,True,True,1,5535
2026-07-09T10:23:10,ok,729,151028,108268,96244,143268,100508,-71,sta,True,True,1,5769
2026-07-09T10:23:31,ok,749,165396,108268,112628,157636,100508,-71,sta,True,True,1,6006
2026-07-09T10:23:51,ok,769,151028,108268,96244,143268,100508,-73,sta,True,True,1,6240
2026-07-09T10:24:11,ok,789,136120,108268,90100,128628,100508,-71,sta,True,True,1,6474
2026-07-09T10:24:31,ok,809,150496,108268,96244,142736,100508,-70,sta,True,True,1,6708
2026-07-09T10:24:51,ok,829,165396,108268,112628,157636,100508,-70,sta,True,True,1,6942
2026-07-09T10:25:11,ok,849,165396,108268,112628,157636,100508,-71,sta,True,True,1,7179
2026-07-09T10:25:31,ok,869,151036,108268,94196,143276,100508,-70,sta,True,True,1,7413
2026-07-09T10:25:51,ok,889,165396,108268,112628,157636,100508,-70,sta,True,True,1,7647
2026-07-09T10:26:11,ok,909,165396,108268,112628,157636,100508,-70,sta,True,True,1,7881
2026-07-09T10:26:31,ok,929,165396,108268,112628,157636,100508,-70,sta,True,True,1,8115
2026-07-09T10:26:51,ok,949,165396,108268,112628,157636,100508,-70,sta,True,True,1,8349
2026-07-09T10:27:11,ok,969,165396,108268,112628,157636,100508,-71,sta,True,True,1,8583
2026-07-09T10:27:31,ok,989,165396,108268,112628,157636,100508,-70,sta,True,True,1,8817
2026-07-09T10:27:51,ok,1010,145384,108268,94196,137892,100508,-70,sta,True,True,1,9054
2026-07-09T10:28:11,ok,1030,143316,108268,94196,135512,100508,-70,sta,True,True,1,9288
2026-07-09T10:28:31,ok,1050,165396,108268,112628,157636,100508,-70,sta,True,True,1,9522
2026-07-09T10:28:51,ok,1070,146704,108268,96244,138944,100508,-70,sta,True,True,1,9756
2026-07-09T10:29:11,ok,1090,165396,108268,112628,157636,100508,-70,sta,True,True,1,9990
2026-07-09T10:29:31,ok,1110,165396,108268,112628,157636,100508,-70,sta,True,True,1,10224
2026-07-09T10:29:51,ok,1130,165396,108268,112628,157636,100508,-70,sta,True,True,1,10458
2026-07-09T10:30:11,ok,1150,165396,108268,112628,157636,100508,-69,sta,True,True,1,10692
2026-07-09T10:30:31,ok,1170,165396,108268,112628,157636,100508,-70,sta,True,True,1,10929
2026-07-09T10:30:51,ok,1190,165396,108268,112628,157636,100508,-69,sta,True,True,1,11163
2026-07-09T10:31:11,ok,1210,165396,108268,112628,157636,100508,-70,sta,True,True,1,11397
2026-07-09T10:31:32,ok,1230,165396,108268,112628,157636,100508,-69,sta,True,True,1,11631
2026-07-09T10:31:52,ok,1250,151040,108268,98292,143280,100508,-69,sta,True,True,1,11865
2026-07-09T10:32:12,ok,1270,165396,108268,112628,157636,100508,-69,sta,True,True,1,12099
2026-07-09T10:32:32,ok,1290,165396,108268,112628,157636,100508,-70,sta,True,True,1,12333
2026-07-09T10:32:52,ok,1310,165396,108268,112628,157636,100508,-70,sta,True,True,1,12567
2026-07-09T10:33:12,ok,1330,148592,108268,94196,140832,100508,-70,sta,True,True,1,12804
2026-07-09T10:33:32,ok,1350,134004,108268,73716,126512,100508,-70,sta,True,True,1,13038
2026-07-09T10:33:52,ok,1370,165396,108268,112628,157636,100508,-73,sta,True,True,1,13272
2026-07-09T10:34:12,ok,1390,165396,108268,112628,157636,100508,-73,sta,True,True,1,13506
2026-07-09T10:34:32,ok,1410,151028,108268,96244,143268,100508,-73,sta,True,True,1,13746
2026-07-09T10:34:52,ok,1430,165396,108268,112628,157636,100508,-73,sta,True,True,1,13979
2026-07-09T10:35:12,ok,1451,150496,108268,98292,142736,100508,-74,sta,True,True,1,14214
2026-07-09T10:35:32,ok,1471,151028,108268,96244,143268,100508,-73,sta,True,True,1,14451
2026-07-09T10:35:53,ok,1491,165396,108268,112628,157636,100508,-73,sta,True,True,1,14685
2026-07-09T10:36:13,ok,1511,165396,108268,112628,157636,100508,-73,sta,True,True,1,14919
2026-07-09T10:36:33,ok,1531,165396,108268,112628,157636,100508,-73,sta,True,True,1,15153
2026-07-09T10:36:53,ok,1551,165396,108268,112628,157636,100508,-73,sta,True,True,1,15387
2026-07-09T10:37:13,ok,1571,165396,108268,112628,157636,100508,-73,sta,True,True,1,15621
2026-07-09T10:37:33,ok,1591,165396,108268,112628,157636,100508,-74,sta,True,True,1,15855
2026-07-09T10:37:53,ok,1611,165396,108268,112628,157636,100508,-73,sta,True,True,1,16089
2026-07-09T10:38:13,ok,1631,149520,108268,96244,141760,100508,-73,sta,True,True,1,16326
2026-07-09T10:38:33,ok,1651,165396,108268,112628,157636,100508,-73,sta,True,True,1,16560
2026-07-09T10:38:53,ok,1671,165396,108268,112628,157636,100508,-73,sta,True,True,1,16794
2026-07-09T10:39:13,ok,1692,128664,108268,77812,121092,100508,-73,sta,True,True,1,17031
2026-07-09T10:39:33,ok,1711,165396,108268,112628,157636,100508,-73,sta,True,True,1,17265
2026-07-09T10:39:53,ok,1732,148860,108268,94196,141100,100508,-73,sta,True,True,1,17502
2026-07-09T10:40:13,ok,1752,150492,108268,96244,142732,100508,-73,sta,True,True,1,17736
2026-07-09T10:40:34,ok,1772,165396,108268,112628,157636,100508,-73,sta,True,True,1,17970
2026-07-09T10:40:54,ok,1792,165396,108268,112628,157636,100508,-73,sta,True,True,1,18204
2026-07-09T10:41:14,ok,1812,165396,108268,112628,157636,100508,-73,sta,True,True,1,18438
2026-07-09T10:41:34,ok,1832,165396,108268,112628,157636,100508,-73,sta,True,True,1,18675
2026-07-09T10:41:54,ok,1852,165396,108268,112628,157636,100508,-73,sta,True,True,1,18909
2026-07-09T10:42:14,ok,1872,165396,108268,112628,157636,100508,-73,sta,True,True,1,19143
2026-07-09T10:42:34,ok,1892,151028,108268,96244,143268,100508,-73,sta,True,True,1,19377
2026-07-09T10:42:54,ok,1912,165396,108268,112628,157636,100508,-74,sta,True,True,1,19611
2026-07-09T10:43:14,ok,1932,165396,108268,112628,157636,100508,-73,sta,True,True,1,19845
2026-07-09T10:43:34,ok,1952,165396,108268,112628,157636,100508,-73,sta,True,True,1,20079
2026-07-09T10:43:54,ok,1972,165396,108268,112628,157636,100508,-73,sta,True,True,1,20316
2026-07-09T10:44:14,ok,1992,165396,108268,112628,157636,100508,-73,sta,True,True,1,20550
2026-07-09T10:44:34,ok,2012,141760,108268,83956,133684,100508,-73,sta,True,True,1,20784
2026-07-09T10:44:54,ok,2032,165396,108268,112628,157636,100508,-73,sta,True,True,1,21018
2026-07-09T10:45:14,ok,2052,165396,108268,112628,157636,100508,-74,sta,True,True,1,21252
2026-07-09T10:45:34,ok,2072,165396,108268,112628,157636,100508,-74,sta,True,True,1,21486
2026-07-09T10:45:54,ok,2092,165396,108268,112628,157636,100508,-72,sta,True,True,1,21723
2026-07-09T10:46:14,ok,2112,165396,108268,112628,157636,100508,-73,sta,True,True,1,21957
