time,state,uptimeSec,freeHeap,minFreeHeap,largestBlock,freeDma,minFreeDma,rssi,wifiMode,espnowBound,runActive,pingOk,wsFrames
2026-07-09T12:49:44,ok,104,179560,166588,135156,171800,158828,-73,sta,True,False,1,0
2026-07-09T12:50:04,ok,124,164840,126136,112628,157080,118376,-70,sta,True,True,1,400
2026-07-09T12:50:24,ok,144,164668,126136,112628,156908,118376,-70,sta,True,True,1,785
2026-07-09T12:50:44,ok,166,174312,126068,114676,166552,118308,-69,sta,True,True,1,1133
2026-07-09T12:51:06,ok,186,164680,126068,100340,156920,118308,-69,sta,True,True,1,1282
2026-07-09T12:51:26,ok,206,164680,124840,104436,156920,117080,-70,sta,True,True,1,1662
2026-07-09T12:51:46,ok,226,164680,124840,102388,156920,117080,-70,sta,True,True,1,2042
2026-07-09T12:52:06,ok,246,139860,124840,86004,132100,117080,-68,sta,True,True,1,2332
2026-07-09T12:52:26,ok,266,162712,117136,100340,154952,109376,-67,sta,True,True,1,2717
2026-07-09T12:52:46,ok,286,162780,117136,96244,155020,109376,-67,sta,True,True,1,3097
2026-07-09T12:53:06,ok,306,162156,117136,110580,154396,109376,-67,sta,True,True,1,3482
2026-07-09T12:53:26,ok,326,154832,117136,92148,147072,109376,-68,sta,True,True,1,3867
2026-07-09T12:53:46,ok,346,144936,117136,92148,137176,109376,-66,sta,True,True,1,4252
2026-07-09T12:54:06,ok,366,162780,117136,110580,155020,109376,-68,sta,True,True,1,4637
2026-07-09T12:54:26,ok,386,162780,117136,98292,155020,109376,-68,sta,True,True,1,5017
2026-07-09T12:54:46,ok,406,162780,117136,98292,155020,109376,-72,sta,True,True,1,5402
2026-07-09T12:55:06,ok,426,162780,117136,98292,155020,109376,-71,sta,True,True,1,5787
